,Source_airport,Destination_airport,Routes
940,Jordan,Germany,7
941,Trinidad and Tobago,United States,7
942,Fiji,United States,7
943,United States,Trinidad and Tobago,7
944,United States,Fiji,7
945,Antigua and Barbuda,United States,7
946,Albania,Greece,7
947,Spain,Greece,7
948,Greece,Albania,7
949,Greece,Spain,7
950,Canada,Belgium,7
951,India,Kuwait,7
952,India,Belgium,7
953,Burma,China,7
954,China,Burma,7
955,Finland,Russia,7
956,Russia,Finland,7
957,Bolivia,Peru,7
958,Peru,Bolivia,7
959,Taiwan,Philippines,7
960,Philippines,Taiwan,7
961,Afghanistan,United Arab Emirates,7
962,United Arab Emirates,Afghanistan,7
963,China,Indonesia,7
964,Indonesia,China,7
965,France,Guadeloupe,7
966,Guadeloupe,France,7
967,Netherlands,Morocco,7
968,Czech Republic,Poland,7
969,Poland,Czech Republic,7
970,Burkina Faso,Niger,7
971,Niger,Burkina Faso,7
972,Saudi Arabia,Sri Lanka,6
973,Sri Lanka,Saudi Arabia,6
974,Portugal,Canada,6
976,Cambodia,Laos,6
977,Laos,Cambodia,6
978,United States,Qatar,6
979,Qatar,United States,6
981,Czech Republic,Ukraine,6
982,Ukraine,Czech Republic,6
984,Norfolk Island,Australia,6
985,Mauritius,Reunion,6
986,Madagascar,Mayotte,6
987,Switzerland,Belgium,6
988,Belgium,Switzerland,6
989,Poland,United States,6
990,United States,Poland,6
992,Saudi Arabia,Oman,6
993,Oman,Saudi Arabia,6
994,Germany,South Africa,6
995,South Africa,Germany,6
996,Luxembourg,Spain,6
997,Spain,Luxembourg,6
999,Kuwait,Pakistan,6
1000,Pakistan,Kuwait,6
1001,Kenya,Congo (Kinshasa),6
1002,South Korea,Australia,6
1003,Australia,South Korea,6
1004,Turkey,Kazakhstan,6
1005,Kazakhstan,Turkey,6
1007,Vietnam,Australia,6
1008,Australia,Vietnam,6
1009,Japan,New Zealand,6
1010,Spain,Venezuela,6
1011,Spain,Ukraine,6
1012,Netherlands,Czech Republic,6
1013,Czech Republic,Netherlands,6
1014,Netherlands,Egypt,6
1015,Pakistan,Bahrain,6
1016,Japan,Indonesia,6
1017,Indonesia,Japan,6
1018,Chile,Brazil,6
1019,Brazil,Chile,6
1020,Brazil,Paraguay,6
1021,Poland,Russia,6
1022,Russia,Poland,6
1023,Slovakia,United Kingdom,6
1024,United Kingdom,Slovakia,6
1025,Fiji,New Zealand,6
1026,New Zealand,Fiji,6
1027,Cameroon,Gabon,6
1028,Qatar,Iran,6
1029,Iran,Qatar,6
1030,Japan,United Arab Emirates,6
1031,United Arab Emirates,Japan,6
1032,United Arab Emirates,Lebanon,6
1033,Sri Lanka,Maldives,6
1034,Lebanon,United Arab Emirates,6
1035,Poland,Denmark,6
1036,Denmark,Poland,6
1037,Hungary,Sweden,6
1038,Serbia,Sweden,6
1039,Sweden,Hungary,6
1040,Sweden,Serbia,6
1041,Ghana,Nigeria,6
1042,Malaysia,South Korea,6
1043,South Korea,Malaysia,6
1045,Sierra Leone,Gambia,6
